"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"363","cauchy","2.56","300","levy","1532","1","0","0"
"362","cauchy","2.56","300","levy","1536","2","7.1734965126948556","186.89837389074253"
"361","cauchy","2.56","300","levy","1976","1","0","0"
"364","cauchy","2.56","300","levy","1937","1","0","0"
"365","cauchy","2.6","300","levy","1705","1","0","0"
"366","cauchy","2.6","300","levy","1809","1","0","0"
"369","cauchy","2.64","300","levy","1819","1","0","0"
"367","cauchy","2.6","300","levy","1903","3","6.2519436475515135","137.11035623423825"
"371","cauchy","2.64","300","levy","1426","1","0","0"
"372","cauchy","2.64","300","levy","1472","1","0","0"
"370","cauchy","2.64","300","levy","1756","1","0","0"
"375","cauchy","2.68","300","levy","1558","1","0","0"
"368","cauchy","2.6","300","levy","1703","1","0","0"
"373","cauchy","2.68","300","levy","1675","2","6.851332117483334","115.67050100452872"
"376","cauchy","2.68","300","levy","1707","1","0","0"
"374","cauchy","2.68","300","levy","1680","1","0","0"
"379","cauchy","2.72","300","levy","1465","1","0","0"
"378","cauchy","2.72","300","levy","1738","1","0","0"
"380","cauchy","2.72","300","levy","1615","2","5.352837688801696","42.63878508485415"
"377","cauchy","2.72","300","levy","2131","1","0","0"
"383","cauchy","2.76","300","levy","1409","1","0","0"
"381","cauchy","2.76","300","levy","2027","1","0","0"
"385","cauchy","2.8","300","levy","1428","1","0","0"
"382","cauchy","2.76","300","levy","1983","1","0","0"
"386","cauchy","2.8","300","levy","1661","1","0","0"
"384","cauchy","2.76","300","levy","1567","1","0","0"
"387","cauchy","2.8","300","levy","1749","1","0","0"
"388","cauchy","2.8","300","levy","1666","1","0","0"
"389","cauchy","2.84","300","levy","1409","1","0","0"
"391","cauchy","2.84","300","levy","1453","2","3.0720604525706454","66.25035530122521"
"392","cauchy","2.84","300","levy","1677","1","0","0"
"390","cauchy","2.84","300","levy","1967","1","0","0"
"393","cauchy","2.88","300","levy","1756","1","0","0"
"396","cauchy","2.88","300","levy","1309","1","0","0"
"395","cauchy","2.88","300","levy","1639","1","0","0"
