"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"589","lognormal","1","275","levy","7309","704","11.2029893614474","20.604965837090376"
"591","lognormal","1","275","levy","7142","867","12.433166732693795","21.62821347858485"
"592","lognormal","1","275","levy","6881","875","11.759847903628994","20.173652285467025"
"593","lognormal","1","280","levy","8056","853","11.544367947560186","20.12790602690262"
"596","lognormal","1","280","levy","6384","610","10.840471675541973","20.556038126126197"
"595","lognormal","1","280","levy","7603","958","13.126964276187039","20.627720319477064"
"594","lognormal","1","280","levy","7554","553","10.67707907787338","20.78249220205365"
"597","lognormal","1","285","levy","7214","891","10.876748730929403","21.016096286362085"
"598","lognormal","1","285","levy","7051","943","13.676128999278632","20.919758414495423"
"599","lognormal","1","285","levy","6980","804","11.11507685309937","22.185903290345475"
"600","lognormal","1","285","levy","6855","605","10.077704063672076","21.744567911508582"
"601","lognormal","1","290","levy","6821","913","13.876953404765409","20.851233421927613"
"602","lognormal","1","290","levy","7043","875","11.29285741566769","20.480140728443146"
"603","lognormal","1","290","levy","7663","878","11.85581745941126","21.526418971698"
"604","lognormal","1","290","levy","6479","808","12.286231765807127","21.728110997878257"
"605","lognormal","1","295","levy","6253","648","11.117518722735475","21.548141896433147"
"606","lognormal","1","295","levy","6598","1024","13.569752561438847","21.37952892419035"
"607","lognormal","1","295","levy","6382","980","15.064486115474825","21.78558097563555"
"608","lognormal","1","295","levy","6541","1040","12.932941361611704","21.491653647220193"
"609","lognormal","1","300","levy","6947","795","13.215983791243715","21.713556781984316"
"610","lognormal","1","300","levy","7360","1210","13.358998085315548","20.623516709029552"
"612","lognormal","1","300","levy","6465","767","10.475190753093575","21.43897067288443"
"611","lognormal","1","300","levy","8055","844","11.045906881692652","21.66755022827145"
