"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"293","1","1.88","300","deterministic","1656","60","9.04575445967868","53.10236220652917"
"294","1","1.88","300","deterministic","1610","56","12.882173750047928","28.02533887379437"
"295","1","1.88","300","deterministic","1603","57","10.559596795196667","57.980237924271826"
"296","1","1.88","300","deterministic","1714","66","11.551459836667505","30.348460989297678"
"297","1","1.92","300","deterministic","1592","53","10.615124915272393","35.62583309632417"
"299","1","1.92","300","deterministic","1645","56","10.468741919301143","33.815531036992866"
"298","1","1.92","300","deterministic","1900","53","13.84827260033886","34.99797641994075"
"300","1","1.92","300","deterministic","1500","55","9.166926211430804","5.805896760859884"
"301","1","1.96","300","deterministic","1418","60","12.51182375742147","24.498458047823565"
"303","1","1.96","300","deterministic","1419","53","12.275430746442325","30.344401400200606"
"302","1","1.96","300","deterministic","1505","56","13.297328841821415","38.833445275775425"
"304","1","1.96","300","deterministic","1518","53","10.870201913550023","20.06730583050571"
"305","1","2","300","deterministic","1460","58","13.839372558211856","27.236300100723355"
"306","1","2","300","deterministic","1296","51","12.792986918552263","30.465647396182177"
"307","1","2","300","deterministic","1785","58","12.45408962695652","35.23731504132837"
"308","1","2","300","deterministic","1969","52","12.049051489493294","19.011769439702256"
"309","1","2.04","300","deterministic","1610","50","12.389881241390796","41.47199756734617"
"310","1","2.04","300","deterministic","1398","58","10.985924837650987","46.89970936735271"
"311","1","2.04","300","deterministic","1310","51","11.849383191659431","28.858871794545347"
"312","1","2.04","300","deterministic","1381","53","9.484249477021468","22.39447734615785"
"315","1","2.08","300","deterministic","1449","65","13.134603461285032","54.178977280126475"
"314","1","2.08","300","deterministic","1483","50","10.223384543120941","22.67357785470397"
"313","1","2.08","300","deterministic","1686","50","10.610870220108344","32.108561625966225"
"316","1","2.08","300","deterministic","1554","51","11.515446769347944","50.85320336418638"
"318","1","2.12","300","deterministic","1504","49","9.556966419675991","20.494918557920055"
"317","1","2.12","300","deterministic","1632","63","10.959119599735946","42.770135648894545"
"319","1","2.12","300","deterministic","1537","50","10.037333205911057","23.024895037358935"
"321","1","2.16","300","deterministic","1489","50","10.57371313722685","38.855492873229885"
"320","1","2.12","300","deterministic","1500","54","10.897360198733827","27.585072563948465"
"322","1","2.16","300","deterministic","1477","48","9.219664693965107","7.730078193843989"
"323","1","2.16","300","deterministic","1431","49","12.092322802162283","32.73672305230205"
"324","1","2.16","300","deterministic","1532","51","10.777929926777414","23.313701601284755"
"326","1","2.2","300","deterministic","1502","48","9.35539536557169","24.08215321828431"
"327","1","2.2","300","deterministic","1594","47","11.093341484209025","37.22710058232478"
"325","1","2.2","300","deterministic","1616","48","12.14431790782204","19.727388611505102"
"328","1","2.2","300","deterministic","1784","48","9.719059584016366","17.420193645194395"
"329","1","2.24","300","deterministic","1813","47","10.14267714990717","62.40313916222867"
"331","1","2.24","300","deterministic","1529","47","12.545636520439393","30.826538154555188"
