"[run number]","dist-for-first","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"215","poisson","1.08","300","Discrete directions, continuous step","7460","708","9.709675764215696","22.734025494535434"
"216","poisson","1.08","300","Discrete directions, continuous step","5810","682","9.285054012286555","23.461091495487334"
"219","poisson","1.12","300","Discrete directions, continuous step","5576","561","10.648422344735547","23.689688794800094"
"218","poisson","1.12","300","Discrete directions, continuous step","6108","614","12.130648735355162","23.395862577176523"
"217","poisson","1.12","300","Discrete directions, continuous step","6348","719","10.913278024986376","23.702120219820145"
"220","poisson","1.12","300","Discrete directions, continuous step","6022","675","9.858532345555602","23.918811292517844"
"221","poisson","1.16","300","Discrete directions, continuous step","6528","827","12.516267121834701","24.433787231407457"
"222","poisson","1.16","300","Discrete directions, continuous step","5990","418","8.47903814823015","22.942985253283293"
"224","poisson","1.16","300","Discrete directions, continuous step","6107","600","9.128465508938849","24.50780815372065"
"225","poisson","1.2","300","Discrete directions, continuous step","5428","454","10.11358312857859","26.49430757753985"
"223","poisson","1.16","300","Discrete directions, continuous step","6906","599","10.773022348801334","23.904121549787874"
"226","poisson","1.2","300","Discrete directions, continuous step","6321","647","10.700567140916853","24.57042165965858"
"227","poisson","1.2","300","Discrete directions, continuous step","5288","522","10.514933245612323","24.613744377966395"
"228","poisson","1.2","300","Discrete directions, continuous step","5715","509","9.838169062615965","25.09870984680934"
"229","poisson","1.24","300","Discrete directions, continuous step","5298","456","9.208273129422732","25.189449304556895"
"232","poisson","1.24","300","Discrete directions, continuous step","5081","557","9.283337626296692","25.8514338341328"
"230","poisson","1.24","300","Discrete directions, continuous step","5544","662","13.005727989446413","25.49074697075492"
"231","poisson","1.24","300","Discrete directions, continuous step","5764","671","11.859542971070464","25.157622383365407"
"233","poisson","1.28","300","Discrete directions, continuous step","4802","775","10.496641967898661","26.695938878073235"
"234","poisson","1.28","300","Discrete directions, continuous step","4599","622","10.466097595144117","26.032834050357085"
"235","poisson","1.28","300","Discrete directions, continuous step","5988","654","10.813854143013934","25.762360183736373"
"236","poisson","1.28","300","Discrete directions, continuous step","5265","556","10.929584093114293","27.54539760483288"
"237","poisson","1.32","300","Discrete directions, continuous step","4993","589","11.601495920961415","26.81231257742898"
"239","poisson","1.32","300","Discrete directions, continuous step","4502","499","8.180318561650765","25.999514501730847"
"238","poisson","1.32","300","Discrete directions, continuous step","5453","601","10.404553681690402","26.205175723225732"
"240","poisson","1.32","300","Discrete directions, continuous step","4848","603","9.66773897409493","26.2783853184947"
"241","poisson","1.36","300","Discrete directions, continuous step","4727","568","10.973313203996533","28.235939147431598"
"242","poisson","1.36","300","Discrete directions, continuous step","5558","415","8.986337253353113","29.58393485826383"
"244","poisson","1.36","300","Discrete directions, continuous step","4524","550","11.123730192799368","27.532157831606167"
"243","poisson","1.36","300","Discrete directions, continuous step","4850","724","10.98857051995995","26.690276526423045"
"245","poisson","1.4","300","Discrete directions, continuous step","4807","588","10.537620068366067","27.487681105778464"
"246","poisson","1.4","300","Discrete directions, continuous step","4414","368","9.114353324298488","29.13232172901296"
"247","poisson","1.4","300","Discrete directions, continuous step","4650","494","9.71834733424981","27.598273981846873"
"249","poisson","1.44","300","Discrete directions, continuous step","4818","315","7.5251789126617865","28.190614889791167"
"248","poisson","1.4","300","Discrete directions, continuous step","4811","405","9.612974588120878","28.635722840923325"
"251","poisson","1.44","300","Discrete directions, continuous step","4560","503","10.364350764267112","29.12352326380159"
"250","poisson","1.44","300","Discrete directions, continuous step","4907","566","8.487325231811063","28.381286686189586"
